region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA3000,7,11,19,48,32,71,51,119,745,1410,280,471,8471,15049,0,0,9496,16930,0,0,0,0,9,10,9,10,6,22,9569,17092,1527,0,11096,17092
POA3002,80,221,119,243,363,834,482,1077,168,273,739,1176,689,1158,3,0,1599,2607,0,0,0,0,7,12,7,12,0,0,2168,3917,370,0,2538,3917
POA3003,42,90,209,463,249,578,458,1041,227,456,212,473,408,832,0,0,847,1761,0,0,0,0,3,14,3,14,3,3,1353,2909,146,0,1499,2909
POA3004,6,15,0,0,0,0,0,0,92,153,329,613,3229,5982,0,0,3650,6748,0,0,0,0,0,3,0,3,0,0,3656,6766,797,0,4453,6766
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,256,496,0,0,256,496,0,0,0,0,0,0,0,0,0,0,256,496,67,0,323,496
POA3006,0,0,0,0,128,271,128,271,13,20,272,567,4694,8938,3,3,4982,9528,0,0,0,0,0,3,0,3,0,3,5110,9805,1076,0,6186,9805
POA3008,0,0,9,22,37,93,46,115,15,34,0,4,2191,4037,0,0,2206,4075,10,13,0,0,0,0,10,13,0,0,2262,4203,619,0,2881,4203
POA3010,9,30,0,0,0,8,0,8,0,0,10,20,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,19,58,3,0,22,58
POA3011,3760,9500,360,725,550,1306,910,2031,1116,2360,539,983,472,813,11,23,2138,4179,0,0,0,0,32,100,32,100,15,32,6855,15842,703,0,7558,15842
POA3012,5533,14818,615,1287,596,1510,1211,2797,1401,2626,214,371,212,427,10,20,1837,3444,29,42,0,0,21,67,50,109,6,12,8637,21180,942,0,9579,21180
POA3013,4161,10514,169,311,408,1001,577,1312,496,855,87,130,27,63,3,4,613,1052,0,0,0,0,28,64,28,64,8,13,5387,12955,483,0,5870,12955
POA3015,4173,10813,528,1072,820,2117,1348,3189,550,890,38,55,0,0,4,4,592,949,0,0,0,0,40,101,40,101,7,6,6160,15058,648,0,6808,15058
POA3016,3370,9531,576,1166,643,1629,1219,2795,588,924,106,181,154,262,4,8,852,1375,78,104,0,3,34,70,112,177,4,0,5557,13878,587,0,6144,13878
POA3018,3597,9034,308,471,219,507,527,978,711,1139,40,70,8,11,4,7,763,1227,0,0,0,3,16,21,16,24,0,0,4903,11263,471,0,5374,11263
POA3019,1645,5150,340,938,92,258,432,1196,534,1162,0,3,10,16,0,0,544,1181,4,14,0,0,14,24,18,38,0,6,2639,7571,193,0,2832,7571
POA3020,11326,32914,598,1506,242,627,840,2133,1231,2510,104,220,51,110,13,24,1399,2864,0,0,0,3,32,73,32,76,7,21,13604,38008,1037,0,14641,38008
POA3021,14448,42820,579,1388,195,572,774,1960,1292,3050,124,301,170,309,16,43,1602,3703,3,7,3,6,16,47,22,60,6,10,16852,48553,1109,0,17961,48553
POA3022,904,2325,18,41,3,14,21,55,39,98,0,0,0,0,6,8,45,106,35,34,0,0,0,3,35,37,0,0,1005,2523,75,0,1080,2523
POA3023,15368,48225,651,1624,605,1686,1256,3310,390,858,0,0,0,0,4,11,394,869,0,3,0,0,3,4,3,7,6,15,17027,52426,1003,0,18030,52426
POA3024,5770,16661,31,69,6,15,37,84,91,166,11,44,0,0,3,5,105,215,3,3,0,7,0,0,3,10,3,3,5918,16973,443,0,6361,16973
POA3025,3286,8793,217,454,187,508,404,962,289,489,28,57,0,0,0,4,317,550,0,0,0,0,6,23,6,23,0,0,4013,10328,305,0,4318,10328
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,59,3,0,3,5,53,64,0,0,53,64,0,0,53,64
POA3027,907,2639,19,49,84,251,103,300,21,39,0,0,0,0,0,0,21,39,0,0,0,0,0,0,0,0,0,0,1031,2978,139,0,1170,2978
POA3028,8826,24557,208,410,80,195,288,605,591,1132,7,14,0,0,0,0,598,1146,0,0,0,0,4,13,4,13,3,3,9719,26324,688,0,10407,26324
POA3029,19796,60007,967,2552,176,483,1143,3035,617,1233,11,25,38,84,4,5,670,1347,0,3,0,0,10,18,10,21,0,4,21619,64414,1614,0,23233,64414
POA3030,22734,67065,975,1964,679,1838,1654,3802,1244,2306,23,40,130,216,7,15,1404,2577,63,91,0,0,15,33,78,124,6,10,25876,73578,2069,0,27945,73578
POA3031,1905,4826,875,1777,1542,3614,2417,5391,402,661,954,1662,1577,3401,3,3,2936,5727,0,0,0,0,5,8,5,8,5,6,7268,15958,793,0,8061,15958
POA3032,4861,13652,582,1245,1162,2968,1744,4213,1154,2058,1199,2349,623,1144,11,20,2987,5571,0,0,0,0,28,61,28,61,7,17,9627,23514,829,0,10456,23514
POA3033,4219,11421,185,399,145,379,330,778,139,263,0,0,0,0,0,0,139,263,0,0,0,0,5,20,5,20,0,0,4693,12482,404,0,5097,12482
POA3034,3498,9373,140,313,83,196,223,509,256,554,8,22,0,0,3,3,267,579,0,0,0,0,9,17,9,17,0,0,3997,10478,278,0,4275,10478
POA3036,1809,5267,146,197,20,45,166,242,44,62,0,0,0,0,0,0,44,62,0,0,0,0,0,0,0,0,0,0,2019,5571,162,0,2181,5571
POA3037,11952,39867,633,1566,391,1068,1024,2634,984,2275,0,0,3,3,0,0,987,2278,0,0,0,0,3,4,3,4,3,8,13969,44791,801,0,14770,44791
POA3038,8188,26159,135,309,213,538,348,847,147,295,0,0,0,0,3,5,150,300,0,0,0,0,3,5,3,5,0,0,8689,27311,423,0,9112,27311
POA3039,3247,8946,355,716,349,831,704,1547,631,1074,429,631,231,380,0,0,1291,2085,0,0,0,0,23,45,23,45,3,17,5268,12640,450,0,5718,12640
POA3040,5585,16227,697,1314,458,1165,1155,2479,1683,2886,322,487,130,193,6,8,2141,3574,0,0,0,0,25,62,25,62,0,0,8906,22342,892,0,9798,22342
POA3041,3110,9043,209,416,122,302,331,718,407,711,67,98,21,33,0,0,495,842,0,0,0,0,10,23,10,23,3,14,3949,10640,297,0,4246,10640
POA3042,4474,11493,405,791,190,500,595,1291,551,1083,9,20,0,0,0,0,560,1103,0,0,0,0,7,13,7,13,0,0,5636,13900,448,0,6084,13900
POA3043,5416,14522,412,798,106,234,518,1032,509,884,0,0,0,0,3,7,512,891,3,7,3,0,10,22,16,29,9,32,6471,16506,465,0,6936,16506
POA3044,6563,17827,1012,1876,631,1465,1643,3341,813,1507,52,109,141,284,8,11,1014,1911,0,3,0,0,20,55,20,58,0,0,9240,23137,743,0,9983,23137
POA3045,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,54,3,0,25,54
POA3046,8319,22372,1276,2767,589,1409,1865,4176,796,1658,63,95,43,86,7,10,909,1849,0,0,0,3,18,38,18,41,9,16,11120,28454,929,0,12049,28454
POA3047,4929,15213,204,545,94,265,298,810,353,778,60,163,65,137,4,10,482,1088,0,0,0,0,0,0,0,0,9,21,5718,17132,488,0,6206,17132
POA3048,4325,14716,488,1575,80,278,568,1853,253,734,0,0,7,27,5,5,265,766,0,0,0,0,4,23,4,23,4,22,5166,17380,243,0,5409,17380
POA3049,2606,7720,100,188,190,393,290,581,18,29,0,0,0,0,0,0,18,29,66,86,0,0,6,7,72,93,0,0,2986,8423,168,0,3154,8423
POA3051,199,470,719,1624,1003,2510,1722,4134,417,833,882,1673,1414,2725,8,15,2721,5246,0,0,0,0,28,76,28,76,10,20,4680,9946,654,0,5334,9946
POA3052,157,513,132,310,390,1144,522,1454,198,371,261,454,391,737,0,0,850,1562,0,0,0,0,0,0,0,0,0,0,1529,3529,189,0,1718,3529
POA3053,182,447,427,847,711,1838,1138,2685,244,469,919,1590,3455,5882,0,3,4618,7944,0,0,0,0,21,45,21,45,13,29,5972,11150,730,0,6702,11150
POA3054,292,751,1789,3975,622,1619,2411,5594,171,298,531,962,67,89,0,4,769,1353,0,0,0,0,32,65,32,65,0,4,3504,7767,380,0,3884,7767
POA3055,2457,6634,627,1242,415,892,1042,2134,1840,3115,92,193,100,169,4,8,2036,3485,0,0,0,0,26,69,26,69,3,4,5564,12326,497,0,6061,12326
POA3056,4126,10690,1292,2682,738,1687,2030,4369,1690,3138,630,1088,738,1331,4,11,3062,5568,0,0,0,0,74,195,74,195,8,32,9300,20854,869,0,10169,20854
POA3057,1513,3782,415,887,571,1421,986,2308,684,1176,114,213,256,430,5,3,1059,1822,0,0,5,5,22,53,27,58,0,4,3585,7974,339,0,3924,7974
